"Fund Name:","Record Date:","Meeting Date","CUSIP","Broadridge Job Number:","Issuer:","Broadridge Client Number:","Total Shares Held via Broadridge Reports:","Number of Proxy Edge Accounts:","Number of Special Processing Accounts:"
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067","ASSOCIATED TRUST COMPANY, N.A.                                             ","83C       ",24080.000000,160,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",ATB SECURITIES INC                                                         ,CC8       ,1389.000000,0,1
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067","AUSTIN CAPITAL TRUST COMPANY, LLC                                          ","10E       ",233.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",AUSTIN TRUST COMPANY                                                       ,"88A       ",218.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",AVISO FINANCIAL INC.                                                       ,C09       ,81961.000000,4,375
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",B2B BANK SECURITIES SERVICES INC                                           ,C78       ,3661.000000,0,9
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BADGER BANK                                                                ,"57W       ",5071.000000,91,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BAIRD TRUST                                                                ,"0A5       ",12302.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BAKER BOYER NATIONAL BANK                                                  ,"17E       ",94.000000,3,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANCFIRST TRUST & INVESTMENT MANAGEM                                       ,"67L       ",9735.000000,3,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANCO INVERSIS                                                             ,"4ZV       ",596.000000,2,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANGOR SAVINGS BANK                                                        ,"9R1       ",675.000000,3,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANK OF AMERICA                                                            ,"68I       ",2872289.000000,14,7064
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANK OF ANN ARBOR                                                          ,"09M       ",470.000000,2,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANK OF CHINA (HONG KONG) LIMITED                                          ,"6FW       ",15000.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANK OF COMMERCE                                                           ,"94V       ",120.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANK OF HAWAII                                                             ,"37A       ",39757.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANK OF JACKSON HOLE                                                       ,"3UQ       ",1760.000000,19,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANK OF MARIN                                                              ,"86P       ",5067.000000,51,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANK OF MILLBROOK                                                          ,"83P       ",297.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANK OF MISSOURI                                                           ,"6GZ       ",87.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANK OF NEW HAMPSHIRE                                                      ,"3I4       ",677.000000,5,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANK OF NOVA SCOTIA                                                        ,C82       ,56552.000000,2,10
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANK OF OKLAHOMA                                                           ,"1S7       ",133387.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANK OF SPRINGFIELD                                                        ,"66X       ",667.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANK OF SUN PRAIRIE                                                        ,"83Z       ",2332.000000,7,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANK OF THE BLUEGRASS & TRUST CO.                                          ,"35V       ",346.000000,2,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANK OZK                                                                   ,"92U       ",325.000000,6,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANKERS TRUST CO N.A.                                                      ,"02P       ",14892.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BANKPLUS                                                                   ,"86W       ",7600.000000,18,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BAR HARBOR WEALTH MANAGEMENT                                               ,"80C       ",38737.000000,63,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BARCLAYS BANK PLC                                                          ,"3QV       ",754945.000000,5,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BARCLAYS CAPITAL INC 86                                                    ,"86Z       ",13763.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BBH WEALTH MANAGEMENT                                                      ,"9B0       ",18694.000000,41,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BELL BANK & TRUST                                                          ,"6YX       ",353451.000000,1592,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BENNINGTON STATE BANK                                                      ,"5A5       ",334.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BESSEMER TRUST COMPANY                                                     ,"70M       ",118556.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BETTERMENT SECURITIES                                                      ,"4PG       ",70045.000000,1,8852
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BMO CAPITAL MARKETS CORP.                                                  ,"045       ",379174.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067","BMO HARRIS BANK, N.A.                                                      ","2C4       ",546301.000000,3,1955
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BMO NESBITT BURNS INC.                                                     ,C12       ,907680.000000,3,7928
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BMO TRUST COMPANY                                                          ,CD4       ,14280.000000,1,67
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BNP PARIBAS NEW YORK BRANCH                                                ,"289       ",418833.000000,4,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BNP PARIBAS NEW YORK BRANCH                                                ,"13M       ",2913275.000000,27,6
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BNP PARIBAS PRIME BROKERAGE INC.                                           ,"3GV       ",25580.000000,2,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BNP PARIBAS SA                                                             ,"11Z       ",366359.000000,54,1
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BNY                                                                        ,"93I       ",10111197.000000,228,63
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BNY MELLON N.A.                                                            ,"3GW       ",10832.000000,17,136
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BNY WEALTH                                                                 ,"8T7       ",401240.000000,11,105
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BOCI SECURITIES LIMITED                                                    ,"85N       ",63331.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067","BOFA SECURITIES, INC.                                                      ","161       ",6395714.000000,15,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BOONE BANK & TRUST                                                         ,"3L2       ",22.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BRANDYWINE TRUST COMPANY                                                   ,"3Q7       ",688.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BRAVERA WEALTH                                                             ,"60U       ",100.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BRIDGES TRUST COMPANY                                                      ,"08C       ",745.000000,7,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BROADWAY NATIONAL BANK                                                     ,"06G       ",552.000000,4,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BROWN BROTHERS HARRIMAN                                                    ,"3S3       ",130719.000000,14,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BROWN BROTHERS HARRIMAN & CO.                                              ,"010       ",6573766.000000,66,40
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BURKE & HERBERT BANK                                                       ,"31L       ",2335.000000,16,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BUSEY BANK                                                                 ,"40K       ",10859.000000,24,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",BYLINE BANK                                                                ,"55N       ",1181.000000,4,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CACEIS BANK                                                                ,"7VB       ",417852.000000,34,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CACEIS BANK SPAIN S.A.U.                                                   ,"4BD       ",57.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CADENCE                                                                    ,"33I       ",11908.000000,18,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CALDWELL SECURITIES LTD.                                                   ,C23       ,2546.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CALDWELL TRUST COMPANY                                                     ,"87W       ",21516.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CAMBRIDGE TRUST                                                            ,"93Q       ",3168.000000,1,9
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CAMDEN NATIONAL WEALTH MANAGEMENT                                          ,"99D       ",36.000000,2,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CANACCORD GENUITY CORP.                                                    ,C54       ,45085.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CANADA TRUST COMPANY                                                       ,C97       ,9324.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CANTOR FITZGERALD & CO.                                                    ,"697       ",66.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CAPE ANN SAVINGS                                                           ,"3FC       ",918.000000,3,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CAPITAL CITY TRUST COMPANY                                                 ,"24E       ",303.000000,3,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CAPITOL FEDERAL                                                            ,"5NH       ",390.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CARROLL BANK & TRUST                                                       ,"1C2       ",66.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CENTENNIAL BANK                                                            ,"09U       ",1121.000000,3,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CENTIER BANK                                                               ,"89A       ",71.000000,2,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CENTRAL BANK & TRUST CO.                                                   ,"89S       ",227.000000,3,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CENTRAL BANK ILLINOIS                                                      ,"49Y       ",2324.000000,9,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CENTRAL NATIONAL BANK                                                      ,"02Q       ",2427.000000,8,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CENTRAL PACIFIC BANK                                                       ,"31W       ",9598.000000,18,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CENTRAL TRUST COMPANY                                                      ,"6T2       ",15290.000000,104,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CENTURY BANK AND TRUST                                                     ,"42M       ",98.000000,3,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CENTURY TRUST                                                              ,"74Q       ",26.000000,3,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CETERA INVESTMENT SERVICES LLC                                             ,"701       ",426589.000000,632,1
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067","CF SECURED,LLC                                                             ","4AM       ",124865.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067","CHAPMAN & CUTLER, LLP                                                      ","09W       ",100.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067","CHARLES SCHWAB & CO., INC.                                                 ","164       ",150271932.000000,5366,138080
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CHARLES SCHWAB TRUST BANK                                                  ,"5T9       ",81711.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CHARLES SCHWAB TRUST COMPANY                                               ,"3U7       ",4663.000000,1,16
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CHARLOTTE STATE BANK & TRUST                                               ,"07T       ",10812.000000,110,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CHEVY CHASE TRUST                                                          ,"4J8       ",7459.000000,2,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067","CHOATE, HALL & STEWART LLP                                                 ","49V       ",10584.000000,21,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CHOICEONE BANK                                                             ,"9K1       ",28.000000,2,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CI INVESTMENT SERVICES INC                                                 ,C07       ,37184.000000,0,11
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CIBC BANK USA                                                              ,"84D       ",90049.000000,3,90
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CIBC CAPITAL MARKETS                                                       ,"52G       ",21288.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CIBC MELLON TRUST COMPANY                                                  ,C41       ,23366.000000,0,1
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CIBC TRUST                                                                 ,C75       ,33607.000000,22,11
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CIBC WORLD MARKETS CORP                                                    ,"438       ",12368.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CIBC WORLD MARKETS INC.                                                    ,C32       ,842278.000000,121,2484
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CITADEL SECURITIES LLC                                                     ,"9B2       ",766.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CITI PRIVATE BANK                                                          ,"1T0       ",294978.000000,68,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CITIBANK CGMI                                                              ,"505       ",2214623.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067","CITIBANK, N.A.                                                             ","58P       ",1008.000000,2,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067","CITIBANK, N.A.,CANADIAN BRANCH                                             ",CD5       ,0.000000,0,1
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067","CITIBANK, NA                                                               ","40D       ",20667348.000000,172,67
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067","CITICORP SECURITIES SERVICES,INC.                                          ","563       ",18320.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CITIGROUP GLOBAL MARKETS LIMITED                                           ,"82P       ",90239.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CITIZENS BANK N.A.                                                         ,"91D       ",3239.000000,1,7
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CITIZENS BANK OF WEST VIRGINIA                                             ,"71Y       ",2045.000000,5,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CITIZENS FIRST NATIONAL BANK                                               ,"01P       ",586.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CITIZENS NATIONAL BANK                                                     ,"26E       ",49.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CITIZENS STATE BANK                                                        ,"67W       ",3016.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CITY NATIONAL BANK                                                         ,"7T5       ",54125.000000,5,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CITY NATIONAL BANK OF FLORIDA                                              ,"4J9       ",941.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CITY NATIONAL BANK OF WEST VIRGINIA                                        ,"3D1       ",10454.000000,529,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CITY STATE BANK                                                            ,"32V       ",428.000000,7,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CIVISTA BANK                                                               ,"84U       ",431.000000,3,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",CLEAR STREET LLC                                                           ,"7IM       ",100279.000000,1,0
